"id","assetgroup","assettype","associationstatus","subnetworkname","creationdate","creator","lastupdate","updatedby","boundary","globalid","rw_name","notes","lifecyclestatus","legacyoid","legacyguid","address","city","county","operatingclass","ownedby","region","state","stationid","zip","stationguid","geoworxkey","shape_starea","shape_stlength","esri_layer_name","myw_geometry_world_name","myw_orientation_boundary"
1016,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E610000001000000050000005355D6CEC84655C02575C66D2B8D424000000000E3361A3F00000000000000004D036742C84655C008102B85218D424000000000E3361A3F0000000000000000CB78A11DC24655C009F01B91228D424000000000E3361A3F0000000000000000EAB8A985C24655C02D37D5BB2C8D424000000000E3361A3F00000000000000005355D6CEC84655C02575C66D2B8D424000000000E3361A3F0000000000000000","{2E4926A7-C2A2-48CE-8B11-842E94F81661}","SEWELLTON JCT.",NULL,"In Service",2668,"{D7E6BFFD-749F-4DB9-B14D-D37FBB10BE33}",NULL,NULL,NULL,NULL,"Foreign","Central",NULL,"0S8",NULL,"{D7E6BFFD-749F-4DB9-B14D-D37FBB10BE33}",NULL,"12449.426396842195","446.5326763479239","Structure Boundary","geo","0"
15,"Electric Substation Boundary","Substation","Container","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E610000001000000050000001ABC48CB24B254C072E0AD9AA573424000000000E3361A3F00000000000000008FE827BA20B254C066C3B9D5A773424000000000E3361A3F000000000000000082BED89A23B254C0DA3F6509AD73424000000000E3361A3F0000000000000000ACC964A626B254C0236EB5A2A873424000000000E3361A3F00000000000000001ABC48CB24B254C072E0AD9AA573424000000000E3361A3F0000000000000000","{651CD626-57A7-4A57-88E7-64B37D57B007}","APPALACHIA",NULL,"In Service",816,"{CD775EC0-7ADF-456A-9CE5-882475F646A3}","145 Powell St.","Appalachia","Wise",NULL,"KU","Mountain","VA","370","24216","{CD775EC0-7ADF-456A-9CE5-882475F646A3}",NULL,"4459.521982137848","274.37609921363367","Structure Boundary","geo","0"
3,"Electric Substation Boundary","Substation","Container","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E6100000010000000500000093FA3DDE3DA754C06047D2687A7D424000000000E3361A3F0000000000000000D5E177533CA754C04826A0FF767D424000000000E3361A3F00000000000000000EE852053AA754C0A629BE047A7D424000000000E3361A3F0000000000000000AE7983B23BA754C01B110A3A7D7D424000000000E3361A3F000000000000000093FA3DDE3DA754C06047D2687A7D424000000000E3361A3F0000000000000000","{F07B7742-6AAA-406F-8E02-620C84715019}","ADDINGTON",NULL,"In Service",804,"{E0B052D1-A42F-42E2-9E2E-52D96C0C2266}","7848 Rock Switch Rd.","Addington","Wise",NULL,"KU","Mountain","VA","376","24293","{E0B052D1-A42F-42E2-9E2E-52D96C0C2266}",NULL,"2397.936652071964","196.18478590246153","Structure Boundary","geo","0"
5,"Electric Substation Boundary","Substation","Container","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E61000000100000005000000E21782EAFD4655C010685D775659434000000000E3361A3F0000000000000000A54B0470F64655C0AA21689A5F59434000000000E3361A3F00000000000000002D5C51A4FC4655C07E5158816D59434000000000E3361A3F0000000000000000EC5B8D90044755C0F6553B246459434000000000E3361A3F0000000000000000E21782EAFD4655C010685D775659434000000000E3361A3F0000000000000000","{CE1DDE43-D28D-4074-BE95-9F4EC7D9779B}","AIRGAS",NULL,"In Service",806,"{4C495F83-9B67-426C-B0A9-50EC60436F22}","361 Tom Harris Rd.","Carrollton","Carroll",NULL,"KU","Bluegrass","KY","283","41008","{4C495F83-9B67-426C-B0A9-50EC60436F22}",NULL,"32069.00309320059","717.7016876840531","Structure Boundary","geo","0"
6,"Electric Substation Boundary","Substation","Container","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E6100000010000000500000025D1A0CFBEE455C0494487C33DE9424000000000E3361A3F00000000000000004F2ED681BBE455C065FE30FA39E9424000000000E3361A3F0000000000000000714FACF1B8E455C043E2E3E33FE9424000000000E3361A3F0000000000000000351BB765BCE455C07599F48943E9424000000000E3361A3F000000000000000025D1A0CFBEE455C0494487C33DE9424000000000E3361A3F0000000000000000","{50D911C6-8D23-4BCA-AC88-B69A6A2C896E}","AIRLINE ROAD",NULL,"In Service",807,"{9FE90232-C634-480A-B7F0-1EEF6204AF61}","1830 Clay St","Henderson","Henderson",NULL,"KU","Western","KY","510","42420","{9FE90232-C634-480A-B7F0-1EEF6204AF61}",NULL,"5679.903195983386","301.7332726661345","Structure Boundary","geo","0"
7,"Electric Substation Boundary","Substation","Container","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E6100000010000000500000029E59470EE0355C026E1CA8A9084424000000000E3361A3F000000000000000068F9E417E90355C0A396F46A8984424000000000E3361A3F00000000000000004CBD5B9DE40355C0C32D43D79184424000000000E3361A3F0000000000000000463D60DEE90355C0AD5669F69884424000000000E3361A3F000000000000000029E59470EE0355C026E1CA8A9084424000000000E3361A3F0000000000000000","{123577AD-0DA7-49A9-B84D-C3D7A891D7D4}","AISIN",NULL,"In Service",808,"{16B23024-493E-49DD-8887-42021B912319}",NULL,"Lily","Laurel",NULL,"KU","Mountain","KY","411","40740","{16B23024-493E-49DD-8887-42021B912319}",NULL,"15217.202925010704","493.4604832559444","Structure Boundary","geo","0"
9,"Electric Substation Boundary","Substation","Container","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E610000001000000070000004B2E9B61282E55C03CEB587B9601434000000000E3361A3F0000000000000000E09A7C89222E55C0657784689501434000000000E3361A3F000000000000000095525D64222E55C0618A0AB49701434000000000E3361A3F00000000000000006B5614F9222E55C05DAA7DD59701434000000000E3361A3F000000000000000027554478222E55C01DF699299E01434000000000E3361A3F00000000000000004B54666C272E55C026470F469F01434000000000E3361A3F00000000000000004B2E9B61282E55C03CEB587B9601434000000000E3361A3F0000000000000000","{B6FC1348-F5BF-4493-B62D-290C5FDA8F0E}","ALEXANDER",NULL,"In Service",810,"{41118212-D81C-4834-B875-3F6F5060289A}","2915 Troy Pike # Fg21","Versailles","Woodford",NULL,"KU","Central","KY","402","40383","{41118212-D81C-4834-B875-3F6F5060289A}",NULL,"9107.553223202605","397.39053460295514","Structure Boundary","geo","0"
11,"Electric Substation Boundary","Substation","Container","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E61000000100000005000000CCF5BD2E9ADA54C0798C52BE3F5D424000000000E3361A3F0000000000000000078BEC5397DA54C0954F4D773D5D424000000000E3361A3F00000000000000009986470B96DA54C07015DBEC405D424000000000E3361A3F0000000000000000BA1866E298DA54C0BEBEAC24435D424000000000E3361A3F0000000000000000CCF5BD2E9ADA54C0798C52BE3F5D424000000000E3361A3F0000000000000000","{90789C5C-79D4-45BE-8CF7-A7B755E34635}","ALVA",NULL,"In Service",812,"{45CF7348-B910-40E7-B4E6-B1965A763F85}","Rockhouse Branch Road","Pathfork","Harlan",NULL,"KU","Mountain","KY","503","40863","{45CF7348-B910-40E7-B4E6-B1965A763F85}",NULL,"2518.1188397453025","202.5926117022463","Structure Boundary","geo","0"
13,"Electric Substation Boundary","Substation","Container","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E61000000100000005000000A1E2EE042EB254C03480319CFC79424000000000E3361A3F00000000000000009EEE206027B254C0022D6067FF79424000000000E3361A3F0000000000000000E4EBA9CB28B254C01ABD6D75067A424000000000E3361A3F0000000000000000EC5912532FB254C05E449891037A424000000000E3361A3F0000000000000000A1E2EE042EB254C03480319CFC79424000000000E3361A3F0000000000000000","{3E77A5F5-6D4A-4145-9780-2E5FBEF66B1B}","ANDOVER",NULL,"In Service",814,"{8DA4571B-75CD-42EB-B71B-119312F85144}","5402 Stonega Rd.","Stonega","Wise",NULL,"KU","Mountain","VA","182","24216","{8DA4571B-75CD-42EB-B71B-119312F85144}",NULL,"9913.51934322721","406.4231066706941","Structure Boundary","geo","0"
14,"Electric Substation Boundary","Substation","Container","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E610000001000000050000003B89D60EDEEE54C02688732E7855424000000000E3361A3F00000000000000009374509ADDEE54C0A40DDC087355424000000000E3361A3F0000000000000000AE42D8EADAEE54C01CCE8D7D7355424000000000E3361A3F00000000000000001FAF2A62DBEE54C04F8DDAAF7855424000000000E3361A3F00000000000000003B89D60EDEEE54C02688732E7855424000000000E3361A3F0000000000000000","{AFF40704-10CB-496C-8890-095EB018ECE3}","APPOLO",NULL,"In Service",815,"{E6002A95-5A4F-4EA3-9A52-F5EEA04EFF91}","801 Old Pineville Pike","Middlesboro","Bell",NULL,"KU","Mountain","KY","632","40965","{E6002A95-5A4F-4EA3-9A52-F5EEA04EFF91}",NULL,"2801.470691016161","212.6718503946764","Structure Boundary","geo","0"
