Structure_ID,Structure_Number,Line_Name,Number_of_Circuits,Structure_Status,Structure_Owner,Old_Primary_Circuit_ID,Structure_Comments,Structure_Global_ID,Structure_Object_ID,Inspection_Date,Inspection_Comments,Inspection_Attribute_Name,Inspection_Status,WorkOrder_Name,WorkOrder_Status,WorkOrder_Due_Date,WorkOrder_Created_By,WorkOrder_Assigned_Date,WorkOrder_Assigned_To
D574D6BC-1102-42AD-9E82-000C6CFCD1BA,012,IMBODEN 71 (624) - GORGE 134 - DORCHESTER 072 (604),,,ODP,007701D0,,AAC0F126-D3D2-4C38-9C19-E95AC729F471,14994,2018-02-05 22:40:58.8340436,,STATIC,GOOD,correct imboden inspection,Completed,,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2017-12-12 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
B3F038F3-8245-49A2-A278-00114EDC0243,051,MIDDLESBORO 127 (644) - MIDDLESBORO 780,,,KU,012503A0,,D8607898-CF5B-42AC-9247-D8AF00F27452,40327,2017-01-20 13:51:28.0622904,,ANCHOR,GOOD,middlesboro 1 and 2,Completed,2017-02-01 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2017-01-17 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
B25B42DC-2F1F-4584-A7A2-0000742BD523,105,OHIO COUNTY 085 (604) - SIMMONS 212- INDIAN HILL 143 (614),,,KU,009804A0,,FE2C0643-B88C-4625-AA21-FCA21EC09844,11564,2020-06-17 21:22:16.6399797,,CONDITION ABOVE GROUNDLINE : R-Pole,GOOD,ohio indian hill,Completed,,,2020-05-21 16:46:44.9830000,2D5A940E-18ED-4BF9-9C68-D53563D71346
79DAC664-06AC-4A79-BF8F-000E81B82E01,007,BOND 158 (604) - DORCHESTER 072 (624),,,ODP,007403AA,,88D0BEC1-26EA-4094-8EED-2F68042138BD,6295,2021-01-27 16:21:58.6919001,,BRACING,GOOD,Bond-Dorchester PR,Completed,,,2020-12-30 13:42:18.3770000,F13A17B1-E804-4618-851F-901D79826778
D574D6BC-1102-42AD-9E82-000C6CFCD1BA,012,IMBODEN 71 (624) - GORGE 134 - DORCHESTER 072 (604),,,ODP,007701D0,,AAC0F126-D3D2-4C38-9C19-E95AC729F471,14994,2018-02-05 22:40:59.0260415,,ENCROACHMENTS,GOOD,correct imboden inspection,Completed,,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2017-12-12 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
B25B42DC-2F1F-4584-A7A2-0000742BD523,105,OHIO COUNTY 085 (604) - SIMMONS 212- INDIAN HILL 143 (614),,,KU,009804A0,,FE2C0643-B88C-4625-AA21-FCA21EC09844,11564,2020-06-17 21:22:16.9220116,,BONDING,GOOD,ohio indian hill,Completed,,,2020-05-21 16:46:44.9830000,2D5A940E-18ED-4BF9-9C68-D53563D71346
79DAC664-06AC-4A79-BF8F-000E81B82E01,007,BOND 158 (604) - DORCHESTER 072 (624),,,ODP,007403AA,,88D0BEC1-26EA-4094-8EED-2F68042138BD,6295,2021-01-27 16:21:58.7269040,,STATIC,GOOD,Bond-Dorchester PR,Completed,,,2020-12-30 13:42:18.3770000,F13A17B1-E804-4618-851F-901D79826778
B3F038F3-8245-49A2-A278-00114EDC0243,051,MIDDLESBORO 127 (644) - MIDDLESBORO 780,,,KU,012503A0,,D8607898-CF5B-42AC-9247-D8AF00F27452,40327,2017-01-20 13:51:30.8645552,Has distributoin transformer bank leaning toward str. it is unsafe to climb.,ENCROACHMENTS,NEEDS REPAIR,middlesboro 1 and 2,Completed,2017-02-01 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2017-01-17 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
B25B42DC-2F1F-4584-A7A2-0000742BD523,105,OHIO COUNTY 085 (604) - SIMMONS 212- INDIAN HILL 143 (614),,,KU,009804A0,,FE2C0643-B88C-4625-AA21-FCA21EC09844,11564,2020-06-17 21:22:16.5959750,,CONDITION ABOVE GROUNDLINE : L-Pole,GOOD,ohio indian hill,Completed,,,2020-05-21 16:46:44.9830000,2D5A940E-18ED-4BF9-9C68-D53563D71346
B3F038F3-8245-49A2-A278-00114EDC0243,051,MIDDLESBORO 127 (644) - MIDDLESBORO 780,,,KU,012503A0,,D8607898-CF5B-42AC-9247-D8AF00F27452,40327,2017-01-20 13:51:30.4575129,,RIGHT OF WAY,GOOD,middlesboro 1 and 2,Completed,2017-02-01 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2017-01-17 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
